function_id,name,tier,confidence,export_name,signature,Classic/1.00,Classic/1.01,Classic/1.02,Classic/1.03,Classic/1.04b,Classic/1.04c,Classic/1.05,Classic/1.05b,Classic/1.06,Classic/1.06b,Classic/1.08,Classic/1.09,Classic/1.09b,Classic/1.09d,Classic/1.10,Classic/1.11,Classic/1.11b,Classic/1.12a,Classic/1.13c,Classic/1.13d,LoD/1.07,LoD/1.08,LoD/1.09,LoD/1.09b,LoD/1.09d,LoD/1.10,LoD/1.11,LoD/1.11b,LoD/1.12a,LoD/1.13c,LoD/1.13d
func_26154,CopyDataToBufferAndUpdatePointers,2,0.9,,"void CopyDataToBufferAndUpdatePointers(int UnusedParameter, UINT DataSizeBytes, int SourceDataPointer)",,,,,,,,,,,,,,,,0x6fabf230,0x6fabf230,0x6fabf3c0,0x6fabf3c0,0x6fabf2f0,,,,,,,0x6fabf230,0x6fabf230,0x6fabf3c0,0x6fabf3c0,0x6fabf2f0
func_26155,func_26155,2,0.9,,,,,,,,,,,,,,,,,,0x6fb0b460,,,,,,,,,,,0x6fb0b460,,,,
func_26156,func_26156,2,0.9,,,,,,,,,,,,,,,,,,0x6fb6d250,,,,,,,,,,,0x6fb6d250,,,,
func_26157,func_26157,2,0.9,,,,,,,,,,,,,,,,,,0x6fb55270,,,,,,,,,,,0x6fb55270,,,,
func_26158,SetSkillInstanceByteAt0x14,2,0.9,,"void SetSkillInstanceByteAt0x14(DWORD dwUnitId, DWORD dwSkillId, BYTE bValue)",,,,,,,,,,,,,,,,0x6fb6d280,0x6faddfb0,0x6fb28230,0x6fb4d6a0,0x6fb51710,,,,,,,0x6fb6d280,0x6faddfb0,0x6fb28230,0x6fb4d6a0,0x6fb51710
func_26159,func_26159,2,0.9,,,,,,,,,,,,,,,,,,0x6fb2b2a0,,,,,,,,,,,0x6fb2b2a0,,,,
func_26160,func_26160,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd2c9,,,,,,,,,,,0x6fadd2c9,,,,
func_26161,func_26161,2,0.9,,,,,,,,,,,,,,,,,,0x6faed2d0,,,,,,,,,,,0x6faed2d0,,,,
func_26162,func_26162,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd2eb,,,,,,,,,,,0x6fadd2eb,,,,
func_26163,func_26163,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd30d,,,,,,,,,,,0x6fadd30d,,,,
func_26164,func_26164,2,0.9,,,,,,,,,,,,,,,,,,0x6fb43310,,,,,,,,,,,0x6fb43310,,,,
func_26165,func_26165,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd32f,,,,,,,,,,,0x6fadd32f,,,,
func_26166,SetEntityFlags,2,0.9,,"void SetEntityFlags(void * entityPtr, uint flagMask, int enableFlag)",,,,,,,,,,,,,,,,0x6fab1350,0x6fab1520,0x6fab10c0,0x6fab13d0,0x6fab11e0,,,,,,,0x6fab1350,0x6fab1520,0x6fab10c0,0x6fab13d0,0x6fab11e0
func_26167,func_26167,2,0.9,,,,,,,,,,,,,,,,,,0x6fad5360,,,,,,,,,,,0x6fad5360,,,,
func_26168,func_26168,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd360,,,,,,,,,,,0x6fadd360,,,,
func_26169,func_26169,2,0.9,,,,,,,,,,,,,,,,,,0x6faef370,,,,,,,,,,,0x6faef370,,,,
func_26170,func_26170,2,0.9,,,,,,,,,,,,,,,,,,0x6fab1380,,,,,,,,,,,0x6fab1380,,,,
func_26171,func_26171,2,0.9,,,,,,,,,,,,,,,,,,0x6faef390,,,,,,,,,,,0x6faef390,,,,
func_26172,func_26172,2,0.9,,,,,,,,,,,,,,,,,,0x6fad5390,,,,,,,,,,,0x6fad5390,,,,
func_26173,func_26173,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd390,,,,,,,,,,,0x6fadd390,,,,
func_26174,func_26174,2,0.9,,,,,,,,,,,,,,,,,,0x6fb4d390,,,,,,,,,,,0x6fb4d390,,,,
func_26175,func_26175,2,0.9,,,,,,,,,,,,,,,,,,0x6fb233a0,,,,,,,,,,,0x6fb233a0,,,,
func_26176,func_26176,2,0.9,,,,,,,,,,,,,,,,,,0x6faef3b0,,,,,,,,,,,0x6faef3b0,,,,
func_26177,func_26177,2,0.9,,,,,,,,,,,,,,,,,,0x6fad53c0,,,,,,,,,,,0x6fad53c0,,,,
func_26178,func_26178,2,0.9,,,,,,,,,,,,,,,,,,0x6fb4d3c0,,,,,,,,,,,0x6fb4d3c0,,,,
func_26179,func_26179,2,0.9,,,,,,,,,,,,,,,,,,0x6faef3d0,,,,,,,,,,,0x6faef3d0,,,,
func_26180,func_26180,2,0.9,,,,,,,,,,,,,,,,,,0x6faef3f0,,,,,,,,,,,0x6faef3f0,,,,
func_26181,func_26181,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37400,,,,,,,,,,,0x6fb37400,,,,
func_26182,GetSkillFieldAt0x34,2,0.9,,"DWORD GetSkillFieldAt0x34(DWORD dwUnitId, DWORD dwSkillId)",,,,,,,,,,,,,,,,0x6fb6d400,0x6fade130,0x6fb283b0,0x6fb4d820,0x6fb51890,,,,,,,0x6fb6d400,0x6fade130,0x6fb283b0,0x6fb4d820,0x6fb51890
func_26183,func_26183,2,0.9,,,,,,,,,,,,,,,,,,0x6fadd409,,,,,,,,,,,0x6fadd409,,,,
func_26184,func_26184,2,0.9,,,,,,,,,,,,,,,,,,0x6fab1420,,,,,,,,,,,0x6fab1420,,,,
func_26185,CheckEntityTypeIsPlayer,2,0.9,,BOOL CheckEntityTypeIsPlayer(void * EntityPtr),,,,,,,,,,,,,,,,0x6fae7430,0x6fadf080,0x6fb1e4b0,0x6fb011b0,0x6fac6930,,,,,,,0x6fae7430,0x6fadf080,0x6fb1e4b0,0x6fb011b0,0x6fac6930
func_26186,func_26186,2,0.9,,,,,,,,,,,,,,,,,,0x6fad5440,,,,,,,,,,,0x6fad5440,,,,
func_26187,func_26187,2,0.9,,,,,,,,,,,,,,,,,,0x6fab1450,,,,,,,,,,,0x6fab1450,,,,
func_26188,func_26188,2,0.9,,,,,,,,,,,,,,,,,,0x6fab1480,,,,,,,,,,,0x6fab1480,,,,
func_26189,func_26189,2,0.9,,,,,,,,,,,,,,,,,,0x6fb55490,,,,,,,,,,,0x6fb55490,,,,
func_26190,func_26190,2,0.9,,,,,,,,,,,,,,,,,,0x6fab14b0,,,,,,,,,,,0x6fab14b0,,,,
func_26191,func_26191,2,0.9,,,,,,,,,,,,,,,,,,0x6faf94b0,,,,,,,,,,,0x6faf94b0,,,,
func_26192,func_26192,2,0.9,,,,,,,,,,,,,,,,,,0x6fb234b0,,,,,,,,,,,0x6fb234b0,,,,
func_26193,GetSkillWordAt0x22FromStructure,2,0.9,,"WORD GetSkillWordAt0x22FromStructure(LPVOID pStructure, DWORD dwUnitId)",,,,,,,,,,,,,,,,0x6fb6d4c0,0x6fade1f0,0x6fb28470,0x6fb4d8e0,0x6fb51950,,,,,,,0x6fb6d4c0,0x6fade1f0,0x6fb28470,0x6fb4d8e0,0x6fb51950
func_26194,func_26194,2,0.9,,,,,,,,,,,,,,,,,,0x6fabd4d0,,,,,,,,,,,0x6fabd4d0,,,,
func_26195,ClearFlagsAtOffsets0x3Eand0x46,2,0.9,,int ClearFlagsAtOffsets0x3Eand0x46(void * objectInstance),,,,,,,,,,,,,,,,0x6fae94e0,0x6fafecb0,0x6fb34660,0x6fae82a0,0x6fac3bb0,,,,,,,0x6fae94e0,0x6fafecb0,0x6fb34660,0x6fae82a0,0x6fac3bb0
func_26196,func_26196,2,0.9,,,,,,,,,,,,,,,,,,0x6faf94e0,,,,,,,,,,,0x6faf94e0,,,,
func_26197,func_26197,2,0.9,,,,,,,,,,,,,,,,,,0x6fb494f0,,,,,,,,,,,0x6fb494f0,,,,
func_26198,func_26198,2,0.9,,,,,,,,,,,,,,,,,,0x6fabd500,,,,,,,,,,,0x6fabd500,,,,
func_26199,CheckEntityExistsInChainByIdWithValidation,2,0.9,,void CheckEntityExistsInChainByIdWithValidation(void),,,,,,,,,,,,,,,,0x6fb19510,0x6faf42d0,0x6fb41010,0x6fb19770,0x6fb0cf60,,,,,,,0x6fb19510,0x6faf42d0,0x6fb41010,0x6fb19770,0x6fb0cf60
func_26200,func_26200,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37520,,,,,,,,,,,0x6fb37520,,,,
func_26201,func_26201,2,0.9,,,,,,,,,,,,,,,,,,0x6fb49520,,,,,,,,,,,0x6fb49520,,,,
func_26202,func_26202,2,0.9,,,,,,,,,,,,,,,,,,0x6fabd520,,,,,,,,,,,0x6fabd520,,,,
func_26203,func_26203,2,0.9,,,,,,,,,,,,,,,,,,0x6fae9530,,,,,,,,,,,0x6fae9530,,,,
func_26204,func_26204,2,0.9,,,,,,,,,,,,,,,,,,0x6faf9530,,,,,,,,,,,0x6faf9530,,,,
func_26205,func_26205,2,0.9,,,,,,,,,,,,,,,,,,0x6fb55560,,,,,,,,,,,0x6fb55560,,,,
func_26206,func_26206,2,0.9,,,,,,,,,,,,,,,,,,0x6faf9570,,,,,,,,,,,0x6faf9570,,,,
func_26207,func_26207,2,0.9,,,,,,,,,,,,,,,,,,0x6fb23570,,,,,,,,,,,0x6fb23570,,,,
func_26208,func_26208,2,0.9,,,,,,,,,,,,,,,,,,0x6fb55590,,,,,,,,,,,0x6fb55590,,,,
func_26209,func_26209,2,0.9,,,,,,,,,,,,,,,,,,0x6fae95a0,,,,,,,,,,,0x6fae95a0,,,,
func_26210,func_26210,2,0.9,,,,,,,,,,,,,,,,,,0x6fb4b5a0,,,,,,,,,,,0x6fb4b5a0,,,,
func_26211,func_26211,2,0.9,,,,,,,,,,,,,,,,,,0x6fb375b0,,,,,,,,,,,0x6fb375b0,,,,
func_26212,func_26212,2,0.9,,,,,,,,,,,,,,,,,,0x6fabd5c0,,,,,,,,,,,0x6fabd5c0,,,,
func_26213,func_26213,2,0.9,,,,,,,,,,,,,,,,,,0x6fad55c0,,,,,,,,,,,0x6fad55c0,,,,
func_26214,SetEntityDataFlagWithValidation,2,0.9,,void SetEntityDataFlagWithValidation(void),,,,,,,,,,,,,,,,0x6fb195d0,0x6faf4390,0x6fb410d0,0x6fb19830,0x6fb0d020,,,,,,,0x6fb195d0,0x6faf4390,0x6fb410d0,0x6fb19830,0x6fb0d020
func_26215,func_26215,2,0.9,,,,,,,,,,,,,,,,,,0x6fb4b5d0,,,,,,,,,,,0x6fb4b5d0,,,,
func_26216,func_26216,2,0.9,,,,,,,,,,,,,,,,,,0x6fb7d5f0,,,,,,,,,,,0x6fb7d5f0,,,,
func_26217,ClearEntityStateFlagsWithValidation,2,0.9,,void ClearEntityStateFlagsWithValidation(void),,,,,,,,,,,,,,,,0x6fb195f0,0x6faf43b0,0x6fb410f0,0x6fb19850,0x6fb0d040,,,,,,,0x6fb195f0,0x6faf43b0,0x6fb410f0,0x6fb19850,0x6fb0d040
func_26218,func_26218,2,0.9,,,,,,,,,,,,,,,,,,0x6fab1610,,,,,,,,,,,0x6fab1610,,,,
func_26219,func_26219,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37610,,,,,,,,,,,0x6fb37610,,,,
func_26220,func_26220,2,0.9,,,,,,,,,,,,,,,,,,0x6fb21620,,,,,,,,,,,0x6fb21620,,,,
func_26221,func_26221,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37630,,,,,,,,,,,0x6fb37630,,,,
func_26222,FilterAndDispatchUIEventExcluding0x73,2,0.9,,"void FilterAndDispatchUIEventExcluding0x73(void * this, void * pUIElement, UIEventRecord * eventRecord)",,,,,,,,,,,,,,,,0x6fb45630,0x6fac7cd0,0x6fb23070,0x6fb2e910,0x6fb27690,,,,,,,0x6fb45630,0x6fac7cd0,0x6fb23070,0x6fb2e910,0x6fb27690
func_26223,func_26223,2,0.9,,,,,,,,,,,,,,,,,,0x6fab1640,,,,,,,,,,,0x6fab1640,,,,
func_26224,func_26224,2,0.9,,,,,,,,,,,,,,,,,,0x6fafb640,,,,,,,,,,,0x6fafb640,,,,
func_26225,func_26225,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37650,,,,,,,,,,,0x6fb37650,,,,
func_26226,func_26226,2,0.9,,,,,,,,,,,,,,,,,,0x6fb49650,,,,,,,,,,,0x6fb49650,,,,
func_26227,func_26227,2,0.9,,,,,,,,,,,,,,,,,,0x6fad5660,,,,,,,,,,,0x6fad5660,,,,
func_26228,func_26228,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37670,,,,,,,,,,,0x6fb37670,,,,
func_26229,func_26229,2,0.9,,,,,,,,,,,,,,,,,,0x6fad5680,,,,,,,,,,,0x6fad5680,,,,
func_26230,func_26230,2,0.9,,,,,,,,,,,,,,,,,,0x6fafb680,,,,,,,,,,,0x6fafb680,,,,
func_26231,func_26231,2,0.9,,,,,,,,,,,,,,,,,,0x6fb37690,,,,,,,,,,,0x6fb37690,,,,
func_26232,func_26232,2,0.9,,,,,,,,,,,,,,,,,,0x6fb7d690,,,,,,,,,,,0x6fb7d690,,,,
func_26233,func_26233,2,0.9,,,,,,,,,,,,,,,,,,0x6faf96a0,,,,,,,,,,,0x6faf96a0,,,,
func_26234,func_26234,2,0.9,,,,,,,,,,,,,,,,,,0x6fb6d6b0,,,,,,,,,,,0x6fb6d6b0,,,,
func_26235,func_26235,2,0.9,,,,,,,,,,,,,,,,,,0x6fb7d6b0,,,,,,,,,,,0x6fb7d6b0,,,,
func_26236,func_26236,2,0.9,,,,,,,,,,,,,,,,,,0x6fb6d6e0,,,,,,,,,,,0x6fb6d6e0,,,,
func_26237,func_26237,2,0.9,,,,,,,,,,,,,,,,,,0x6fb3b710,,,,,,,,,,,0x6fb3b710,,,,
func_26238,func_26238,2,0.9,,,,,,,,,,,,,,,,,,0x6fb6d710,,,,,,,,,,,0x6fb6d710,,,,
func_26239,func_26239,2,0.9,,,,,,,,,,,,,,,,,,0x6fb6d740,,,,,,,,,,,0x6fb6d740,,,,
func_26240,SetStructureFlagIfNotSet,2,0.9,,void SetStructureFlagIfNotSet(void * basePtr),,,,,,,,,,,,,,,,0x6faff750,0x6fb6a4a0,0x6fb0fde0,0x6fb24e60,0x6fb36430,,,,,,,0x6faff750,0x6fb6a4a0,0x6fb0fde0,0x6fb24e60,0x6fb36430
func_26241,SendThreeFieldPacket,2,0.9,,"void SendThreeFieldPacket(byte packetType, int fieldOne, int fieldTwo, int fieldThree)",,,,,,,,,,,,,,,,0x6fb23760,0x6fb0e620,0x6fb297b0,0x6fac48e0,0x6fb669d0,,,,,,,0x6fb23760,0x6fb0e620,0x6fb297b0,0x6fac48e0,0x6fb669d0
func_26242,func_26242,2,0.9,,,,,,,,,,,,,,,,,,0x6fb7d760,,,,,,,,,,,0x6fb7d760,,,,
func_26243,func_26243,2,0.9,,,,,,,,,,,,,,,,,,0x6fb599bc,,,,,,,,,,,0x6fb599bc,,,,
