version,module_hint,address_hex,address_int,name,rel_file,line,signature,tag_rest
1.10,D2Common,0x1005E6D0,268822224,PATH_GetDirectionVector,source/D2Common/include/Path/Step.h,11,"void __fastcall PATH_GetDirectionVector(D2CoordStrc* pDirectionVector, int* pOutDirection, DWORD dwStartPrecisionX, DWORD dwStartPrecisionY, DWORD dwTargetPrecisionX, DWORD dwTargetPrecisionY);",
1.10c,D2Common,0x6FDA81C0,1876591040,PATH_IDAStar_GetNextNeighborIndex,source/D2Common/include/Path/IDAStar.h,53,"void __fastcall PATH_IDAStar_GetNextNeighborIndex(D2PathIDAStarNodeStrc* pNode, D2PathIDAStarContextStrc* pContext);",
1.10c,D2Common,0x6FDA81C0,1876591040,PATH_IDAStar_GetNextNeighborIndex,source/D2Common/src/Path/IDAStar.cpp,310,"void __fastcall PATH_IDAStar_GetNextNeighborIndex(D2PathIDAStarNodeStrc* pNode, D2PathIDAStarContextStrc* pContext) {",
1.10f,,0x4014D0,4199632,LoadCurrentlySelectedModule,source/Game/src/Main.cpp,341,D2_MODULES LoadCurrentlySelectedModule(D2ConfigStrc* pCfg) {,(Inlined)
1.10f,,0x6FF51E30,1878335024,DATATBLS_CalcEvaluateExpression,source/Fog/include/Calc.h,108,"FOG_DLL_DECL int __stdcall DATATBLS_CalcEvaluateExpression(const FOGASTNodeStrc* pExpressionBuffer, int32_t nExpressionBufferSize, CalcFogCallBack2_t fpParamCallBack, D2CalcCallbackInfoStrc* pTableData, int nTableSize, void* pUserData);",(#10253)
1.10f,,0x6FF51E30,1878335024,DATATBLS_CalcEvaluateExpression,source/Fog/src/Calc.cpp,167,"int __stdcall DATATBLS_CalcEvaluateExpression(const FOGASTNodeStrc* pExpressionBuffer, int32_t nExpressionBufferSize, CalcFogCallBack2_t fpParamCallBack, D2CalcCallbackInfoStrc* pTableData, int nTableSize, void* pUserData) {",(#10253)
1.10f,,0x6FF524B0,1878336688,DATATBLS_IntStackPush,source/Fog/include/Calc.h,104,"void __fastcall DATATBLS_IntStackPush(Fog64IntStack* pCalcStack, int32_t nValue);",
1.10f,,0x6FF524B0,1878336688,DATATBLS_IntStackPush,source/Fog/src/Calc.cpp,18,"void __fastcall DATATBLS_IntStackPush(Fog64IntStack* pCalcStack, int32_t nValue) {",
1.10f,,0x6FF524D0,1878336720,DATATBLS_IntStackPop,source/Fog/include/Calc.h,100,int __fastcall DATATBLS_IntStackPop(Fog64IntStack* pCalcStack);,
1.10f,,0x6FF524D0,1878336720,DATATBLS_IntStackPop,source/Fog/src/Calc.cpp,6,int __fastcall DATATBLS_IntStackPop(Fog64IntStack* pCalcStack) {,
1.10f,,0x6FF524F0,1878336752,DATATBLS_CompileExpression,source/Fog/include/Calc.h,132,"FOG_DLL_DECL int __stdcall DATATBLS_CompileExpression(const char* szFormulaString, FOGASTNodeStrc* pOutASTBuffer, int nOutASTBufferSize, CalcGetKeyWordToNumber_t pfnFunctionNameToId, CalcGetFunctionParameterCount_t pfnGetFunctionParameterCount, CalcGetLinkerIndex_t pfnLinkParse);",(#10254)
1.10f,,0x6FF524F0,1878336752,DATATBLS_CompileExpression,source/Fog/src/Calc.cpp,684,"int __stdcall DATATBLS_CompileExpression(const char* szFormulaString, FOGASTNodeStrc* pOutASTBuffer, int nOutASTBufferSize, CalcGetKeyWordToNumber_t pfnFunctionNameToId, CalcGetFunctionParameterCount_t pfnGetFunctionParameterCount, CalcGetLinkerIndex_t pfnLinkParse) {",(#10254)
1.10f,,0x6FF53000,1878339584,DATATABLS_CheckPrecendence,source/Fog/include/Calc.h,120,"BOOL __fastcall DATATABLS_CheckPrecendence(FOGASTType nPreviousCalcType, FOGASTType nNewCalcType);",
1.10f,,0x6FF53000,1878339584,DATATABLS_CheckPrecendence,source/Fog/src/Calc.cpp,378,"BOOL __fastcall DATATABLS_CheckPrecendence(FOGASTType nPreviousCalcType, FOGASTType nNewCalcType) {",
1.10f,,0x6FF530B0,1878339760,DATATBLS_Evaluate_HandleNewOp,source/Fog/include/Calc.h,124,"FOGASTNodeStrc* __fastcall DATATBLS_Evaluate_HandleNewOp(FOGASTNodeStrc* pASTBufferPos, FOGASTNodeStrc* pASTBufferStart, int nASTBufferSize, FOGExpressionParserContextStrc* pContext, FOGASTType nNewASTType, CalcGetFunctionParameterCount_t pfnGetFunctionParametersCount, int nTokenAssociatedValue);",
1.10f,,0x6FF530B0,1878339760,DATATBLS_Evaluate_HandleNewOp,source/Fog/src/Calc.cpp,392,"FOGASTNodeStrc* __fastcall DATATBLS_Evaluate_HandleNewOp(FOGASTNodeStrc* pASTBufferPos, FOGASTNodeStrc* pASTBufferStart, int nASTBufferSize, FOGExpressionParserContextStrc* pContext, FOGASTType nNewASTType, CalcGetFunctionParameterCount_t pfnGetFunctionParametersCount, int nTokenAssociatedValue) {",
1.10f,,0x6FF53280,1878340224,DATATBLS_ExpressionBuffer_PushRawConstant,source/Fog/include/Calc.h,112,"FOGASTNodeStrc* __fastcall DATATBLS_ExpressionBuffer_PushRawConstant(FOGASTNodeStrc* pExpressionBufferPos, FOGASTNodeStrc* pExpressionBufferStart, int szBufferSize, FOGExpressionParserContextStrc* pCalc, int32_t nValue);",
1.10f,,0x6FF53280,1878340224,DATATBLS_ExpressionBuffer_PushRawConstant,source/Fog/src/Calc.cpp,293,"FOGASTNodeStrc* __fastcall DATATBLS_ExpressionBuffer_PushRawConstant(FOGASTNodeStrc* pExpressionBufferPos, FOGASTNodeStrc* pExpressionBufferStart, int szBufferSize, FOGExpressionParserContextStrc* pCalc, int32_t nValue) {",
1.10f,,0x6FF5A860,1878370400,FOG_IsWindowsNT,source/Fog/include/System/System.h,11,FOG_DLL_DECL BOOL __stdcall FOG_IsWindowsNT();,(#10176)
1.10f,,0x6FF5A860,1878370400,FOG_IsWindowsNT,source/Fog/src/System/System.cpp,5,BOOL __stdcall FOG_IsWindowsNT() {,(#10176)
1.10f,D2Common,0x6FD44FF0,1876185072,COLLISION_TrySetUnitCollisionMask,source/D2Common/src/D2Collision.cpp,1220,"int __fastcall COLLISION_TrySetUnitCollisionMask(D2ActiveRoomStrc* pRoom1, int nX1, int nY1, D2ActiveRoomStrc* pRoom2, int nX2, int nY2, int nCollisionPattern, uint16_t nFootprintCollisionMask, uint16_t nMoveConditionMask) {",
